Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Unemployement_rate (%),Median,P25th,P75th
GENERAL AGRICULTURE,Agriculture & Natural Resources,128148,90245,74078,2423,0.026147106,3%,50000,34000,80000
ANIMAL SCIENCES,Agriculture & Natural Resources,103549,81177,64937,3619,0.0426789,4%,46000,30000,72000
AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,95326,76865,64240,2266,0.028636059,3%,54000,36000,80000
NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279,5%,52000,37100,75000
PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,79409,63043,51077,2070,0.031790887,3%,50000,35000,75000
FORESTRY,Agriculture & Natural Resources,69447,48228,39613,2144,0.042563329,4%,58000,40500,80000
AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,33955,26321,22810,821,0.030248324,3%,63000,40000,98000
FOOD SCIENCE,Agriculture & Natural Resources,24280,17281,12722,894,0.049188446,5%,62000,38500,90000
MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,8549,6392,5074,261,0.039230422,4%,52000,35000,75000
SOIL SCIENCE,Agriculture & Natural Resources,6586,4926,4042,264,0.050867052,5%,63000,39400,88000
FINE ARTS,Arts,571961,386961,256747,29912,0.071753268,7%,45000,30000,70000
COMMERCIAL ART AND GRAPHIC DESIGN,Arts,504657,379980,266671,30330,0.073919719,7%,46600,32000,70000
MUSIC,Arts,276262,192704,116142,11155,0.054719193,5%,45000,30000,67000
DRAMA AND THEATER ARTS,Arts,174817,135071,81519,11789,0.08027373,8%,42000,29000,62000
FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,133508,107651,69303,10080,0.085618911,9%,47000,30000,70000
STUDIO ARTS,Arts,81008,58799,36943,5372,0.083713827,8%,37600,24900,58000
VISUAL AND PERFORMING ARTS,Arts,55141,41098,23479,4297,0.094658002,9%,40000,27000,59000
MISCELLANEOUS FINE ARTS,Arts,8511,6431,3802,1190,0.156147487,16%,45000,30000,60000
BIOLOGY,Biology & Life Science,839454,583079,422788,36757,0.05930117,6%,51000,35000,80000
ENVIRONMENTAL SCIENCE,Biology & Life Science,106106,87602,65238,4736,0.051289827,5%,52000,38000,75000
BIOCHEMICAL SCIENCES,Biology & Life Science,75322,52594,37103,4056,0.071597529,7%,53000,33000,82000
MICROBIOLOGY,Biology & Life Science,68885,45422,33990,2435,0.050880749,5%,60000,40000,85000
ZOOLOGY,Biology & Life Science,55395,35714,26152,1815,0.0483626,5%,55000,34000,85000
ECOLOGY,Biology & Life Science,45368,36708,25677,1888,0.048916986,5%,47500,32000,73000
PHYSIOLOGY,Biology & Life Science,43984,31394,20207,1692,0.051139455,5%,50000,30000,75000
MISCELLANEOUS BIOLOGY,Biology & Life Science,29389,22298,16508,1114,0.047582436,5%,52000,33500,72800
MOLECULAR BIOLOGY,Biology & Life Science,28197,20221,13366,1303,0.060537075,6%,45000,30000,70000
BOTANY,Biology & Life Science,14135,9284,6333,327,0.034023515,3%,50000,32000,75000
NEUROSCIENCE,Biology & Life Science,13676,8987,5446,665,0.068897638,7%,35000,28000,52000
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,6898,5527,3639,284,0.048872827,5%,53000,31500,93000
GENETICS,Biology & Life Science,6362,4747,3498,206,0.041590955,4%,48000,33000,80000
PHARMACOLOGY,Biology & Life Science,5015,3481,2579,57,0.016110797,2%,60000,35000,105000
BUSINESS MANAGEMENT AND ADMINISTRATION,Business,3123510,2354398,1939384,147261,0.058865337,6%,58000,39500,86000
GENERAL BUSINESS,Business,2148712,1580978,1304646,85626,0.051377532,5%,60000,40000,95000
ACCOUNTING,Business,1779219,1335825,1095027,75379,0.053414673,5%,65000,42500,100000
MARKETING AND MARKETING RESEARCH,Business,1114624,890125,704912,51839,0.055032889,6%,56000,38500,90000
FINANCE,Business,816548,670681,561073,34166,0.048472931,5%,65000,45000,100000
HOSPITALITY MANAGEMENT,Business,200854,163393,122499,8862,0.051446983,5%,49000,33000,70000
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,187274,142879,116466,9241,0.060748094,6%,54000,38000,80000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,156673,134478,118249,6186,0.043977137,4%,72000,50000,100000
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,102753,77471,61603,4308,0.052678561,5%,53000,36000,83000
INTERNATIONAL BUSINESS,Business,86064,66453,51012,5106,0.071353708,7%,54000,38600,80000
BUSINESS ECONOMICS,Business,75547,57983,48471,3816,0.061748572,6%,65000,45000,100000
OPERATIONS LOGISTICS AND E-COMMERCE,Business,57200,47341,41104,2141,0.043268259,4%,65000,45000,90000
ACTUARIAL SCIENCE,Business,9763,7846,6880,466,0.056063523,6%,72000,53000,115000
COMMUNICATIONS,Communications & Journalism,987676,790696,595739,54390,0.064360314,6%,50000,35000,80000
JOURNALISM,Communications & Journalism,418104,314438,235407,20754,0.061916752,6%,50000,35000,80000
MASS MEDIA,Communications & Journalism,211213,170474,125489,15431,0.08300476,8%,48000,32000,70000
ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,186829,147433,111552,10624,0.067216257,7%,50000,34000,75000
COMPUTER SCIENCE,Computers & Mathematics,783292,656372,561052,34196,0.049518657,5%,78000,51000,105000
MATHEMATICS,Computers & Mathematics,432806,280902,209838,15701,0.05293608,5%,66000,42000,100000
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,253782,218248,189950,11945,0.051891239,5%,65000,45000,90000
INFORMATION SCIENCES,Computers & Mathematics,77805,66393,57604,3704,0.052841063,5%,68000,46200,95000
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,62141,49609,37261,4609,0.085008669,9%,50000,34500,75000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,51771,44071,35954,2748,0.05869412,6%,55000,36000,80000
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,39362,32366,28156,2626,0.075045725,8%,55000,40000,80000
COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,29317,22828,18747,2265,0.090264217,9%,60000,40000,85000
STATISTICS AND DECISION SCIENCE,Computers & Mathematics,24806,18808,14468,1138,0.057054046,6%,70000,43000,102000
APPLIED MATHEMATICS,Computers & Mathematics,19112,15136,12109,892,0.055652608,6%,70000,47000,106000
MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,7184,5874,5039,150,0.024900398,2%,92000,53000,136000
ELEMENTARY EDUCATION,Education,1446701,819393,501786,32685,0.038359164,4%,40000,31000,50000
GENERAL EDUCATION,Education,1438867,843693,591863,38742,0.043903517,4%,43000,32000,59000
PHYSICAL AND HEALTH EDUCATION TEACHING,Education,281661,193542,136343,9389,0.046266958,5%,48400,34000,66500
ART AND MUSIC EDUCATION,Education,231861,155159,94756,6629,0.040973373,4%,42600,32000,56000
MISCELLANEOUS EDUCATION,Education,225553,126054,91322,5145,0.039215238,4%,50000,35600,71000
