Major_past,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Unemployement_rate_percentage,P25th,Median,P75th,Avg_P25th,Avg_Median,Avg_P75th,Avg_total,Avg_employed,Avg_employed_ft,Avg_unemployed
GENERAL AGRICULTURE,General agriculture,Agriculture & Natural Resources,128148,90245,74078,2423,0.026147106,2.61,34000,50000,80000,36550,55000,81300,63244,48042,38919,1855
ANIMAL SCIENCES,Animal sciences,Agriculture & Natural Resources,103549,81177,64937,3619,0.0426789,4.27,30000,46000,72000,36550,55000,81300,63244,48042,38919,1855
AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture production and management,Agriculture & Natural Resources,95326,76865,64240,2266,0.028636059,2.86,36000,54000,80000,36550,55000,81300,63244,48042,38919,1855
NATURAL RESOURCES MANAGEMENT,Natural resources management,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279,5.43,37100,52000,75000,36550,55000,81300,63244,48042,38919,1855
PLANT SCIENCE AND AGRONOMY,Plant science and agronomy,Agriculture & Natural Resources,79409,63043,51077,2070,0.031790887,3.18,35000,50000,75000,36550,55000,81300,63244,48042,38919,1855
FORESTRY,Forestry,Agriculture & Natural Resources,69447,48228,39613,2144,0.042563329,4.26,40500,58000,80000,36550,55000,81300,63244,48042,38919,1855
AGRICULTURAL ECONOMICS,Agricultural economics,Agriculture & Natural Resources,33955,26321,22810,821,0.030248324,3.02,40000,63000,98000,36550,55000,81300,63244,48042,38919,1855
FOOD SCIENCE,Food science,Agriculture & Natural Resources,24280,17281,12722,894,0.049188446,4.92,38500,62000,90000,36550,55000,81300,63244,48042,38919,1855
MISCELLANEOUS AGRICULTURE,Miscellaneous agriculture,Agriculture & Natural Resources,8549,6392,5074,261,0.039230422,3.92,35000,52000,75000,36550,55000,81300,63244,48042,38919,1855
SOIL SCIENCE,Soil science,Agriculture & Natural Resources,6586,4926,4042,264,0.050867052,5.09,39400,63000,88000,36550,55000,81300,63244,48042,38919,1855
FINE ARTS,Fine arts,Arts,571961,386961,256747,29912,0.071753268,7.18,30000,45000,70000,29113,43525,64500,225733,163587,106826,13016
COMMERCIAL ART AND GRAPHIC DESIGN,Commercial art and graphic design,Arts,504657,379980,266671,30330,0.073919719,7.39,32000,46600,70000,29113,43525,64500,225733,163587,106826,13016
MUSIC,Music,Arts,276262,192704,116142,11155,0.054719193,5.47,30000,45000,67000,29113,43525,64500,225733,163587,106826,13016
DRAMA AND THEATER ARTS,Drama and theater arts,Arts,174817,135071,81519,11789,0.08027373,8.03,29000,42000,62000,29113,43525,64500,225733,163587,106826,13016
FILM VIDEO AND PHOTOGRAPHIC ARTS,Film video and photographic arts,Arts,133508,107651,69303,10080,0.085618911,8.56,30000,47000,70000,29113,43525,64500,225733,163587,106826,13016
STUDIO ARTS,Studio arts,Arts,81008,58799,36943,5372,0.083713827,8.37,24900,37600,58000,29113,43525,64500,225733,163587,106826,13016
VISUAL AND PERFORMING ARTS,Visual and performing arts,Arts,55141,41098,23479,4297,0.094658002,9.47,27000,40000,59000,29113,43525,64500,225733,163587,106826,13016
MISCELLANEOUS FINE ARTS,Miscellaneous fine arts,Arts,8511,6431,3802,1190,0.156147487,15.61,30000,45000,60000,29113,43525,64500,225733,163587,106826,13016
BIOLOGY,Biology,Biology & Life Science,839454,583079,422788,36757,0.05930117,5.93,35000,51000,80000,33214,50821,78771,95585,67647,48752,4095
ENVIRONMENTAL SCIENCE,Environmental science,Biology & Life Science,106106,87602,65238,4736,0.051289827,5.13,38000,52000,75000,33214,50821,78771,95585,67647,48752,4095
